Designation, b1, mass, t, r1, r2
150×150×19 EA, 150, 42.1, 19, 13, 5
150×150×16 EA, 150, 35.4, 15.8, 13, 5
150×150×12 EA, 150, 27.3, 12, 13, 5
150×150×10 EA, 150, 21.9, 9.5, 13, 5
125×125×16 EA, 125, 29.1, 15.8, 10, 5
125×125×12 EA, 125, 22.5, 12, 10, 5
125×125×10 EA, 125, 18, 9.5, 10, 5
125×125×8 EA, 125, 14.9, 7.8, 10, 5
100×100×12 EA, 100, 17.7, 12, 8, 5
100×100×10 EA, 100, 14.2, 9.5, 8, 5
100×100×8 EA, 100, 11.8, 7.8, 8, 5
100×100×6 EA, 100, 9.16, 6, 8, 5
90×90×10 EA, 90, 12.7, 9.5, 8, 5
90×90×8 EA, 90, 10.6, 7.8, 8, 5
90×90×6 EA, 90, 8.22, 6, 8, 5
75×75×10 EA, 75, 10.5, 9.5, 8, 5
75×75×8 EA, 75, 8.7, 7.8, 8, 5
75×75×6 EA, 75, 6.81, 6, 8, 5
75×75×5 EA, 75, 5.27, 4.6, 8, 5
65×65×10 EA, 65, , 9.5, 6, 3
65×65×8 EA, 65, , 7.8, 6, 3
65×65×6 EA, 65, , 6, 6, 3
65×65×5 EA, 65, , 4.6, 6, 3
55×55×6 EA, 55, , 6, 6, 3
55×55×5 EA, 55, , 4.6, 6, 3
50×50×8 EA, 50, , 7.8, 6, 3
50×50×6 EA, 50, , 6, 6, 3
50×50×5 EA, 50, , 4.6, 6, 3
50×50×3 EA, 50, , 3, 6, 3
45×45×6 EA, 45, , 6, 5, 3
45×45×5 EA, 45, , 4.6, 5, 3
45×45×3 EA, 45, , 3, 5, 3
40×40×6 EA, 40, , 6, 5, 3
40×40×5 EA, 40, , 4.6, 5, 3
40×40×3 EA, 40, , 3, 5, 3
30×30×6 EA, 30, , 6, 5, 3
30×30×5 EA, 30, , 4.6, 5, 3
30×30×3 EA, 30, , 3, 5, 3
25×25×6 EA, 25, , 6, 5, 3
25×25×5 EA, 25, , 4.6, 5, 3
25×25×3 EA, 25, , 3, 5, 3